Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
BTC,LH,inf,88.25847588478672,0
BTC,LRCX,238632.03148336807,51.55250360625909,0
BTC,LW,252414.899131882,107.68683329148976,0
BTC,LVS,inf,102.04582816434865,0
BTC,LDOS,310760.3052422432,211.270782439349,0
BTC,LEN,inf,16.489097597907147,0
BTC,LLY,302620.09126580437,179.0325873811508,0
BTC,LNC,238836.29217128071,63.122112797728136,0
BTC,LIN,56596.61494328706,82.555573548324,0
BTC,LYV,inf,32.45009791819116,0
BTC,LKQ,inf,28.542731653775025,0
BTC,LMT,313617.4997066221,221.36041711786436,0
BTC,L,282232.70012200915,118.78734012944602,0
BTC,LOW,418729126.73088217,21.89650161489719,0
BTC,LUMN,288729.90689300356,151.63257972234305,0
BTC,LYB,inf,30.025616459196723,0
BTC,MTB,288497.6858472483,140.1920757670839,0
BTC,MRO,252836.6306949245,95.86781866408656,0
BTC,MPC,inf,52.858888957041344,0
BTC,MKTX,130383.45602872517,125.54551700266785,0
BTC,MAR,198615.18927754858,69.84688648084042,0
BTC,MMC,130785.93042073846,125.16143134845015,0
BTC,MLM,223841.02095053642,54.4968154011553,0
BTC,MAS,inf,70.70147863851551,0
BTC,MA,445779.1388605279,96.28637715332346,0
BTC,MTCH,179999.77939467615,39.48139178866636,0
BTC,MKC,312881.1289117995,265.5734371516865,0
BTC,MCD,278181.16039235773,149.1100914621616,0
BTC,MCK,226342.65412604006,119.70507398697829,0
BTC,MDT,278592.6404882415,148.42862063557942,0
BTC,MRK,310695.324448236,207.99839004283,0
BTC,FB,inf,60.592499579573456,0
BTC,MET,127255.3409792367,69.71720791779465,0
BTC,MTD,56757.58678703755,53.278772511523435,0
BTC,MGM,67923.55364261368,60.549123437952595,0
BTC,MCHP,8273965.1840340085,45.232427788122024,0
BTC,MU,119799.93868399966,74.31838739199748,0
BTC,MSFT,141834.34047101386,109.33942232446535,0
BTC,MAA,227442.0631436611,141.606749911697,0
BTC,MRNA,169323.613652153,118.33067062131171,0
BTC,MHK,152476.96161940295,57.03393560545656,0
BTC,MOH,247084.31660076304,114.41486699437651,0
BTC,TAP,308448.6961764082,202.52067308377832,0
